xmin,ymin,xmax,ymax,confidence,class
2043.8948,132.96967,2250.4133,295.62427,0.8814039826393127,0.0
1257.4446,718.9137,1408.7943,869.8994,0.8622746467590332,0.0
1655.3918,483.9415,1816.1779,625.039,0.8618355989456177,0.0
1344.8021,266.70935,1473.8345,393.11026,0.8502229452133179,0.0
2330.198,1126.3514,2449.6692,1262.902,0.8489804863929749,0.0
763.8779,96.93531,865.95197,204.69337,0.8478798866271973,0.0
266.68497,55.840054,373.803,167.26363,0.8354015946388245,0.0
432.10873,51.101765,536.80896,166.30115,0.8353024125099182,0.0
523.4827,700.5683,623.11176,818.81384,0.8296827077865601,0.0
1828.8413,560.47906,1929.3428,676.6399,0.8291825652122498,0.0
676.9515,868.9761,777.29724,988.6407,0.8284115195274353,0.0
1810.3157,964.05347,1905.2714,1071.3179,0.8274835348129272,0.0
356.20163,1132.7043,476.08612,1269.174,0.8272554874420166,0.0
1134.4414,907.1904,1257.6781,1023.9894,0.8272006511688232,0.0
238.09926,354.26456,332.04727,441.47638,0.8239942193031311,0.0
445.8245,420.97452,527.7815,516.5059,0.8229804039001465,0.0
2180.071,1093.1929,2272.4976,1195.207,0.822407603263855,0.0
184.5626,1341.4453,302.40088,1449.6383,0.8214631080627441,0.0
30.399668,645.99817,127.272255,734.6796,0.8195297122001648,0.0
1175.5118,231.46973,1312.471,383.55243,0.8179855346679688,0.0
2041.8209,805.4436,2128.803,903.33875,0.8177942633628845,0.0
2231.3896,824.9746,2308.0854,919.3053,0.8173658847808838,0.0
580.7234,21.023745,690.1109,141.84122,0.8164936304092407,0.0
1.9776734,148.10295,193.22351,339.51917,0.8163586258888245,0.0
777.318,1151.7823,908.3116,1298.8899,0.8142651319503784,0.0
2348.9934,937.98315,2453.3218,1038.627,0.8105945587158203,0.0
2140.4656,805.5529,2216.0647,919.9586,0.8078452944755554,0.0
1136.6725,1141.2732,1226.3984,1241.9463,0.8046799302101135,0.0
749.8508,756.6066,839.0472,846.72797,0.801627516746521,0.0
549.7082,516.8438,634.0263,604.805,0.8010185956954956,0.0
1732.2423,1177.7795,1833.3221,1286.5187,0.7910720109939575,0.0
1899.6377,1159.0524,1998.1598,1276.8197,0.7829574346542358,0.0
329.81497,514.0841,406.5605,595.0798,0.7803171873092651,0.0
132.74075,1140.4712,220.46655,1228.8298,0.7798535823822021,0.0
1536.0015,726.24457,1629.3944,827.2596,0.7777772545814514,0.0
383.55777,684.4534,477.96722,767.0737,0.7775644659996033,0.0
546.62354,245.06644,622.44824,321.19916,0.7762212753295898,0.0
1309.7853,36.50433,1388.3312,129.71,0.7744308114051819,0.0
15.341016,1202.5166,74.64537,1323.5422,0.7716448903083801,0.0
1631.1245,754.46454,1717.9204,841.2007,0.7697635293006897,0.0
510.76657,1241.7065,586.11285,1322.9565,0.7608665227890015,0.0
2272.2622,521.41125,2386.0845,620.4614,0.7602699995040894,0.0
2002.2638,509.97083,2084.0818,610.00525,0.7483922839164734,0.0
935.82214,1146.3281,1037.1393,1251.734,0.7417730093002319,0.0
816.37695,566.4634,888.73047,649.36505,0.7379788160324097,0.0
1537.6389,1292.0608,1613.9546,1377.6594,0.7310540080070496,0.0
949.6083,573.1623,1048.7716,683.67334,0.7290828824043274,0.0
1278.4305,1082.4167,1364.2284,1201.2141,0.7273027300834656,0.0
631.89417,391.2429,752.20184,497.146,0.7232133746147156,0.0
1684.7554,1121.0697,1732.04,1181.4198,0.7077999711036682,0.0
0.69524616,905.8321,187.09816,1055.2721,0.6811310648918152,0.0
223.89911,716.0856,294.9055,793.1551,0.6627240777015686,0.0
362.17133,260.19342,424.82312,321.42572,0.616077184677124,0.0
1416.7194,1177.8035,1467.682,1237.8302,0.6160411834716797,0.0
481.44604,1020.1082,575.5023,1099.1631,0.5532373785972595,0.0
1667.7323,46.113346,1762.8514,129.70638,0.5474916696548462,0.0
169.10869,704.45056,227.59401,785.61304,0.3916320204734802,0.0
